annot_gene_id,Known,Antisense,Intergenic
ENSMUSG00000000001.4,3269.0,0.0,0.0
ENSMUSG00000000028.15,991.0,0.0,0.0
ENSMUSG00000000031.16,7206.0,0.0,0.0
ENSMUSG00000000037.16,2.0,0.0,0.0
ENSMUSG00000000049.11,3.0,0.0,0.0
ENSMUSG00000000056.7,586.0,0.0,0.0
ENSMUSG00000000058.6,238.0,0.0,0.0
ENSMUSG00000000078.7,1225.0,0.0,0.0
ENSMUSG00000000085.16,314.0,0.0,0.0
ENSMUSG00000000088.7,1107.0,0.0,0.0
ENSMUSG00000000093.6,4.0,0.0,0.0
ENSMUSG00000000094.12,18.0,0.0,0.0
ENSMUSG00000000120.6,2.0,0.0,0.0
ENSMUSG00000000125.5,1.0,0.0,0.0
ENSMUSG00000000126.11,391.0,0.0,0.0
ENSMUSG00000000127.15,668.0,0.0,0.0
ENSMUSG00000000131.15,108.0,0.0,0.0
ENSMUSG00000000134.17,474.0,0.0,0.0
ENSMUSG00000000142.15,6.0,0.0,0.0
ENSMUSG00000000148.17,268.0,0.0,0.0
ENSMUSG00000000149.10,303.0,0.0,0.0
ENSMUSG00000000154.16,1.0,0.0,0.0
ENSMUSG00000000159.16,8.0,0.0,0.0
ENSMUSG00000000167.14,14.0,0.0,0.0
ENSMUSG00000000168.9,2321.0,0.0,0.0
ENSMUSG00000000171.5,2072.0,0.0,0.0
ENSMUSG00000000184.12,92.0,0.0,0.0
ENSMUSG00000000194.13,619.0,0.0,0.0
ENSMUSG00000000202.9,220.0,0.0,0.0
ENSMUSG00000000223.13,249.0,0.0,0.0
ENSMUSG00000000244.17,100.0,0.0,0.0
ENSMUSG00000000247.11,2.0,0.0,0.0
ENSMUSG00000000253.13,846.0,0.0,0.0
ENSMUSG00000000266.11,25.0,0.0,0.0
ENSMUSG00000000275.16,101.0,0.0,0.0
ENSMUSG00000000276.11,130.0,0.0,0.0
ENSMUSG00000000278.10,2626.0,0.0,0.0
ENSMUSG00000000282.12,240.0,0.0,0.0
ENSMUSG00000000290.13,16.0,0.0,0.0
ENSMUSG00000000295.13,83.0,0.0,0.0
ENSMUSG00000000296.8,73.0,0.0,0.0
ENSMUSG00000000301.16,36.0,0.0,0.0
ENSMUSG00000000303.12,22.0,0.0,0.0
ENSMUSG00000000317.11,41.0,0.0,0.0
ENSMUSG00000000318.16,1.0,0.0,0.0
ENSMUSG00000000320.10,4.0,0.0,0.0
ENSMUSG00000000325.16,211.0,0.0,0.0
ENSMUSG00000000326.13,631.0,0.0,0.0
ENSMUSG00000000339.14,673.0,0.0,0.0
ENSMUSG00000000340.10,281.0,0.0,0.0
ENSMUSG00000000346.9,1522.0,0.0,0.0
ENSMUSG00000000355.13,144.0,0.0,0.0
ENSMUSG00000000359.3,532.0,0.0,0.0
ENSMUSG00000000374.8,41.0,0.0,0.0
ENSMUSG00000000378.15,749.0,0.0,0.0
ENSMUSG00000000384.15,963.0,0.0,0.0
ENSMUSG00000000385.8,1.0,0.0,0.0
