match_type,gene
symbol,0610005C13Rik
symbol,0610009B22Rik
symbol,0610009E02Rik
symbol,0610009L18Rik
symbol,0610010F05Rik
symbol,0610010K14Rik
symbol,0610012G03Rik
symbol,0610030E20Rik
symbol,0610037L13Rik
symbol,0610038B21Rik
symbol,0610040B10Rik
symbol,0610040F04Rik
symbol,0610043K17Rik
symbol,1110002E22Rik
symbol,1110002L01Rik
symbol,1110004F10Rik
symbol,1110008L16Rik
symbol,1110008P14Rik
symbol,1110012L19Rik
symbol,1110013H19Rik
symbol,1110017D15Rik
symbol,1110019D14Rik
symbol,1110020A21Rik
symbol,1110025M09Rik
symbol,1110032A03Rik
symbol,1110038B12Rik
symbol,1110038F14Rik
symbol,1110046J04Rik
symbol,1110051M20Rik
symbol,1110059E24Rik
symbol,1110059G10Rik
symbol,1110065P20Rik
symbol,1190002N15Rik
symbol,1190005I06Rik
symbol,1190007I07Rik
symbol,1300002E11Rik
symbol,1300017J02Rik
symbol,1500002C15Rik
symbol,1500004A13Rik
symbol,1500009L16Rik
symbol,1500011B03Rik
symbol,1500015A07Rik
symbol,1600002D24Rik
symbol,1600002K03Rik
symbol,1600010M07Rik
symbol,1600012H06Rik
symbol,1600014C10Rik
symbol,1600020E01Rik
symbol,1600027J07Rik
symbol,1700001D01Rik
symbol,1700001G11Rik
symbol,1700001K19Rik
symbol,1700001L05Rik
symbol,1700001O22Rik
symbol,1700001P01Rik
symbol,1700003E16Rik
symbol,1700003F12Rik
symbol,1700003G18Rik
symbol,1700006J14Rik
symbol,1700007J10Rik
symbol,1700007L15Rik
symbol,1700008J07Rik
symbol,1700010K24Rik
symbol,1700011L22Rik
symbol,1700012B09Rik
symbol,1700012D14Rik
symbol,1700015F17Rik
symbol,1700016D06Rik
symbol,1700016P03Rik
symbol,1700017B05Rik
symbol,1700017M07Rik
symbol,1700018A04Rik
symbol,1700020I14Rik
symbol,1700021F05Rik
symbol,1700022I11Rik
symbol,1700022N22Rik
symbol,1700023H06Rik
symbol,1700025F24Rik
symbol,1700025G04Rik
symbol,1700025L06Rik
symbol,1700028E10Rik
symbol,1700028J19Rik
symbol,1700029I15Rik
symbol,1700029J07Rik
symbol,1700030J22Rik
symbol,1700030K09Rik
symbol,1700034H15Rik
symbol,1700034J05Rik
symbol,1700034P13Rik
symbol,1700037C18Rik
symbol,1700037F03Rik
symbol,1700037H04Rik
symbol,1700040L08Rik
symbol,1700047A11Rik
symbol,1700052K11Rik
symbol,1700054A03Rik
symbol,1700055D18Rik
symbol,1700056E22Rik
symbol,1700056N10Rik
symbol,1700058P15Rik
symbol,1700061G19Rik
symbol,1700061I17Rik
symbol,1700065D16Rik
symbol,1700066B19Rik
symbol,1700066M21Rik
symbol,1700067K01Rik
symbol,1700081N11Rik
symbol,1700084C06Rik
symbol,1700084E18Rik
symbol,1700085D07Rik
symbol,1700086D15Rik
symbol,1700086O06Rik
symbol,1700087M22Rik
symbol,1700088E04Rik
symbol,1700093K21Rik
symbol,1700094J05Rik
symbol,1700096K18Rik
symbol,1700102H20Rik
symbol,1700102P08Rik
symbol,1700108J01Rik
symbol,1700109H08Rik
symbol,1700109K24Rik
symbol,1700110K17Rik
symbol,1700112D23Rik
symbol,1700113A16Rik
symbol,1700120C14Rik
symbol,1700120G07Rik
symbol,1700120G11Rik
symbol,1700123M08Rik
