,count
371631,22751
69458,13058
614409,9543
105487,8319
34172,7354
56141,5428
18216,5292
5345,5148
112506,4809
152566,4723
1552,4284
634240,4104
46385,4042
3075,3939
134928,3692
268619,3580
61230,3277
83873,3091
193352,3076
52606,3063
11591,2995
73206,2954
261437,2785
310979,2712
84031,2677
61089,2676
61404,2620
88026,2567
12666,2537
66926,2534
18704,2532
548398,2488
62997,2452
87186,2411
414601,2398
129684,2397
65238,2367
30344,2323
63060,2307
18816,2267
87344,2201
67125,2075
640008,2053
4074,2052
67631,2009
130896,1997
39717,1954
62924,1952
114129,1926
2578,1911
